Designator,Mid X,Mid Y,Layer,Rotation
C1,79.40,78.30,Top,180.0
C2,79.40,79.60,Top,0.0
C3,160.00,65.00,Top,0.0
C4,154.00,65.00,Top,0.0
C5,131.50,109.50,Top,180.0
C6,139.50,110.50,Top,270.0
C7,136.50,110.50,Top,270.0
C8,126.50,110.50,Top,270.0
C9,123.50,110.50,Top,270.0
C10,81.90,86.65,Top,0.0
C13,81.90,72.50,Top,0.0
C15,131.50,116.00,Top,180.0
C16,139.50,117.00,Top,270.0
C17,136.50,117.00,Top,270.0
C18,126.50,117.00,Top,270.0
C19,123.50,117.00,Top,270.0
C21,81.90,84.00,Top,0.0
C24,98.60,65.35,Top,180.0
C25,131.50,122.00,Top,180.0
C26,139.50,123.00,Top,270.0
C27,136.50,123.00,Top,270.0
C28,126.50,123.00,Top,270.0
C29,123.50,123.00,Top,270.0
C34,138.50,61.00,Top,90.0
C35,131.50,128.00,Top,180.0
C36,139.50,129.00,Top,270.0
C37,136.50,129.00,Top,270.0
C38,126.50,129.00,Top,270.0
C39,123.50,129.00,Top,270.0
C40,143.50,61.00,Top,90.0
C41,152.00,86.50,Top,180.0
C42,141.00,61.00,Top,90.0
C43,152.00,84.00,Top,180.0
C44,131.00,104.50,Top,0.0
C45,131.50,134.00,Top,180.0
C46,139.50,135.00,Top,270.0
C47,136.50,135.00,Top,270.0
C48,126.50,135.00,Top,270.0
C49,123.50,135.00,Top,270.0
C50,134.00,101.50,Top,270.0
C55,18.20,125.80,Top,0.0
C56,18.20,124.20,Top,0.0
C57,18.80,144.50,Top,90.0
C58,208.30,126.94,Top,0.0
C59,157.14,78.48,Top,180.0
C60,211.00,90.50,Top,270.0
C72,62.80,136.10,Top,0.0
C75,18.20,13.30,Top,0.0
C76,127.00,142.50,Top,90.0
C77,125.00,142.50,Top,90.0
C78,18.20,11.70,Top,0.0
C79,14.80,18.00,Top,90.0
C80,137.00,142.50,Top,270.0
C81,139.00,142.50,Top,270.0
C82,62.80,23.60,Top,0.0
C84,88.00,41.00,Top,180.0
C85,88.00,39.00,Top,180.0
C86,96.00,41.00,Top,0.0
C87,96.00,39.00,Top,0.0
C88,96.00,53.50,Top,0.0
C89,96.00,51.80,Top,0.0
C90,88.00,53.50,Top,180.0
C91,88.00,51.50,Top,180.0
C92,106.50,47.50,Top,270.0
C93,109.00,50.50,Top,90.0
C94,104.80,35.00,Top,270.0
C95,100.20,42.10,Top,270.0
C96,29.50,73.50,Top,0.0
C97,23.50,67.50,Top,180.0
C98,31.00,79.00,Top,0.0
C107,95.00,114.50,Top,0.0
C108,95.00,116.50,Top,0.0
C109,87.00,114.50,Top,180.0
C110,87.00,116.50,Top,180.0
C111,87.00,102.00,Top,180.0
C112,87.00,103.70,Top,180.0
C113,95.00,102.00,Top,0.0
C114,167.06,70.35,Top,90.0
C115,165.52,72.35,Top,90.0
C116,176.07,80.95,Top,90.0
C117,183.27,66.65,Top,270.0
C118,191.42,66.83,Top,270.0
C119,168.25,70.35,Top,90.0
C120,183.33,83.89,Top,180.0
C121,176.44,70.45,Top,270.0
C122,168.65,83.32,Top,180.0
C123,177.78,80.95,Top,90.0
C124,174.14,70.45,Top,90.0
C125,174.10,67.55,Top,270.0
C126,185.04,67.21,Top,270.0
C127,183.50,71.00,Top,90.0
C128,183.50,73.60,Top,90.0
C129,95.00,104.00,Top,0.0
C130,76.50,108.00,Top,90.0
C131,74.00,105.00,Top,270.0
C132,78.20,120.50,Top,90.0
C133,82.80,113.40,Top,90.0
C134,29.50,90.50,Top,0.0
C135,23.50,84.50,Top,180.0
C142,52.00,80.00,Top,0.0
C143,61.00,84.00,Top,90.0
C144,52.00,84.00,Top,180.0
C145,52.00,86.00,Top,0.0
C146,59.00,84.00,Top,270.0
C147,63.00,76.00,Top,180.0
C148,59.00,74.00,Top,90.0
C149,52.00,77.00,Top,180.0
C150,69.00,86.00,Top,90.0
C151,69.00,80.00,Top,180.0
C152,69.00,78.50,Top,180.0
C153,40.00,79.00,Top,180.0
C154,46.00,79.00,Top,180.0
C155,59.00,91.00,Top,270.0
C156,55.00,91.00,Top,90.0
C157,59.00,94.00,Top,270.0
C242,208.60,65.82,Top,90.0
C243,211.70,65.70,Top,270.0
C244,153.00,150.14,Top,270.0
C245,150.46,150.14,Top,270.0
C246,153.00,119.66,Top,270.0
C247,150.46,119.66,Top,270.0
C248,153.00,134.90,Top,270.0
C249,150.46,134.90,Top,270.0
C250,150.73,20.29,Top,180.0
C251,150.73,17.12,Top,270.0
C252,157.84,18.26,Top,270.0
C253,151.93,29.74,Top,270.0
C254,149.39,29.74,Top,270.0
C255,153.00,109.50,Top,270.0
C256,150.46,109.50,Top,270.0
C257,152.00,44.57,Top,270.0
C258,149.46,44.57,Top,270.0
C259,196.30,144.70,Top,0.0
C260,190.30,153.70,Top,0.0
C261,193.30,153.70,Top,0.0
C262,165.30,150.70,Top,270.0
C263,196.30,129.70,Top,0.0
C264,190.30,138.70,Top,0.0
C265,193.30,138.70,Top,0.0
C266,165.30,135.70,Top,270.0
C267,196.30,114.70,Top,0.0
C268,190.30,123.70,Top,0.0
C269,193.30,123.70,Top,0.0
C270,165.30,120.70,Top,270.0
C271,195.30,39.20,Top,0.0
C272,189.30,48.20,Top,0.0
C273,192.30,48.20,Top,0.0
C274,164.30,45.20,Top,270.0
C275,195.30,24.70,Top,0.0
C276,189.30,33.70,Top,0.0
C277,192.30,33.70,Top,0.0
C278,164.30,30.70,Top,270.0
C279,195.30,10.70,Top,0.0
C280,189.30,19.70,Top,0.0
C281,192.30,19.70,Top,0.0
C282,164.30,16.70,Top,270.0
C283,196.20,99.20,Top,0.0
C284,190.20,108.20,Top,0.0
C285,193.20,108.20,Top,0.0
C286,165.10,106.30,Top,90.0
C287,160.70,101.20,Top,0.0
C288,190.30, 7.70,Top,180.0
C289,150.30, 8.70,Top,0.0
C290,171.20,107.20,Top,180.0
C291,171.20,104.20,Top,180.0
C292,171.20,101.20,Top,180.0
C293,171.20,98.20,Top,180.0
C294,169.30,16.70,Top,180.0
C295,169.30,19.70,Top,180.0
C296,169.30,13.70,Top,180.0
C297,169.30,10.70,Top,180.0
C298,169.30,30.70,Top,180.0
C299,169.30,33.70,Top,180.0
C300,169.30,27.70,Top,180.0
C301,169.30,24.70,Top,180.0
C302,169.30,45.20,Top,180.0
C303,169.30,48.20,Top,180.0
C304,169.30,42.20,Top,180.0
C305,169.30,39.20,Top,180.0
C306,170.30,120.70,Top,180.0
C307,170.30,123.70,Top,180.0
C308,170.30,117.70,Top,180.0
C309,170.30,114.70,Top,180.0
C310,170.30,135.70,Top,180.0
C311,170.30,138.70,Top,180.0
C312,170.30,132.70,Top,180.0
C313,170.30,129.70,Top,180.0
C314,170.30,150.70,Top,180.0
C315,170.30,153.70,Top,180.0
C316,170.30,147.70,Top,180.0
C317,170.30,144.70,Top,180.0
C318,198.60,99.20,Top,0.0
C319,211.30,43.30,Top,270.0
C320,214.30,43.30,Top,270.0
C321,208.30,43.30,Top,90.0
C322,217.30,43.30,Top,90.0
D7,215.41,65.90,Top,270.0
D8,151.73,143.72,Top,180.0
D9,160.70,98.20,Top,180.0
D10,155.30,11.70,Top,90.0
FB2,188.45,65.89,Top,180.0
FL2,15.30,125.20,Top,0.0
FL3,15.30,12.70,Top,0.0
IC1,95.50,79.00,Top,0.0
IC2,157.50,68.50,Top,180.0
IC3,138.00,101.50,Top,0.0
IC5,132.50,79.00,Top,270.0
IC6,209.50,122.00,Top,270.0
IC8,170.66,77.41,Top,180.0
IC9,171.09,67.44,Top,180.0
IC10,128.00,101.50,Top,270.0
IC13,92.00,40.00,Top,0.0
IC14,92.00,52.50,Top,90.0
IC15,105.00,53.50,Top,270.0
IC16,104.20,40.20,Top,270.0
IC17,26.00,78.00,Top,180.0
IC18,26.50,70.50,Top,0.0
IC21,91.00,115.50,Top,180.0
IC22,159.35,150.14,Top,0.0
IC23,159.35,119.66,Top,0.0
IC24,159.35,134.90,Top,0.0
IC25,154.54,19.02,Top,180.0
IC26,158.28,29.74,Top,0.0
IC27,159.35,109.50,Top,0.0
IC28,158.35,44.57,Top,0.0
IC29,91.00,103.00,Top,270.0
IC30,78.00,102.00,Top,90.0
IC31,78.80,115.30,Top,90.0
IC33,26.50,87.50,Top,0.0
K5,62.80,141.00,Top,180.0
K6,25.80,134.50,Top,180.0
K7,45.80,135.50,Top,0.0
K8,76.40,135.10,Top,0.0
K9,62.80,28.50,Top,180.0
K10,25.80,22.00,Top,180.0
K11,45.80,23.00,Top,0.0
K12,76.40,22.60,Top,0.0
L1,181.30,148.70,Top,270.0
L9,181.30,133.70,Top,270.0
L10,181.30,118.70,Top,270.0
L11,180.30,43.20,Top,270.0
L12,180.30,28.70,Top,270.0
L13,180.30,14.70,Top,270.0
L14,181.20,103.20,Top,270.0
LED25,112.50,33.50,Top,90.0
LED26,112.50,30.50,Top,90.0
LED27,112.50,27.50,Top,90.0
LED28,112.50,24.50,Top,90.0
LED29,112.50,21.50,Top,90.0
LED30,112.50,18.50,Top,90.0
LED31,112.50,15.50,Top,90.0
LED32,112.50,12.50,Top,90.0
LED41,112.50,57.50,Top,90.0
LED42,112.50,54.50,Top,90.0
LED43,112.50,51.50,Top,90.0
LED44,112.50,48.50,Top,90.0
LED45,112.50,45.50,Top,90.0
LED46,112.50,42.50,Top,90.0
LED47,112.50,39.50,Top,90.0
LED48,112.50,36.50,Top,90.0
PS2,192.30,147.70,Top,90.0
PS9,192.30,132.70,Top,90.0
PS10,192.30,117.70,Top,90.0
PS11,191.30,42.20,Top,90.0
PS12,191.30,27.70,Top,90.0
PS13,191.30,13.70,Top,90.0
PS14,192.20,102.20,Top,90.0
Q4,30.70,125.20,Top,360.0
Q5,43.10,144.20,Top,90.0
Q6,74.80,144.10,Top,90.0
Q7,30.70,12.70,Top,360.0
Q8,43.10,31.70,Top,90.0
Q9,74.80,31.60,Top,90.0
R1,152.00,67.50,Top,180.0
R2,152.00,68.50,Top,180.0
R3,152.00,69.50,Top,180.0
R4,152.00,70.50,Top,180.0
R5,152.00,66.50,Top,180.0
R6,48.00,76.00,Top,270.0
R7,48.00,82.00,Top,90.0
R8,38.00,12.00,Top,270.0
R9,70.50,32.50,Top,90.0
R10,52.50,33.00,Top,90.0
R11,82.50,31.00,Top,270.0
R12,150.50,75.50,Top,180.0
R13,150.50,74.50,Top,180.0
R14,82.00,70.50,Top,180.0
R15,129.00,60.00,Top,90.0
R16,130.00,96.50,Top,0.0
R18,130.00,60.00,Top,90.0
R22,150.50,73.50,Top,180.0
R23,150.50,72.50,Top,180.0
R30,115.50,12.50,Top,180.0
R31,115.50,15.50,Top,180.0
R32,115.50,18.50,Top,180.0
R33,115.50,21.50,Top,180.0
R34,115.50,24.50,Top,180.0
R35,115.50,27.50,Top,180.0
R36,115.50,30.50,Top,180.0
R37,115.50,33.50,Top,180.0
R42,13.30,144.50,Top,90.0
R43,21.70,124.90,Top,180.0
R44,93.00,46.00,Top,90.0
R45,91.00,46.00,Top,90.0
R46,115.50,36.50,Top,180.0
R47,115.50,39.50,Top,180.0
R48,115.50,42.50,Top,180.0
R49,115.50,45.50,Top,180.0
R50,115.50,48.50,Top,180.0
R51,115.50,51.50,Top,180.0
R52,115.50,54.50,Top,180.0
R53,115.50,57.50,Top,180.0
R78,211.00,88.00,Top,270.0
R79,211.00,127.00,Top,180.0
R80,132.50,60.00,Top,270.0
R81,133.50,96.50,Top,0.0
R82,214.00,94.00,Top,90.0
R83,133.50,60.00,Top,270.0
R84,134.50,60.00,Top,270.0
R85,135.50,60.00,Top,270.0
R86,136.50,60.00,Top,270.0
R87,165.00,92.00,Top,270.0
R88,174.00,92.00,Top,270.0
R89,171.00,92.00,Top,270.0
R90,168.00,92.00,Top,270.0
R91,215.50,94.00,Top,90.0
R92,218.50,94.00,Top,90.0
R93,217.00,94.00,Top,90.0
R121,164.50,77.50,Top,270.0
R122,123.50,103.00,Top,90.0
R123,164.50,75.50,Top,90.0
R124,123.50,101.00,Top,90.0
R125,133.00,99.50,Top,90.0
R126,133.00,101.50,Top,90.0
R127,128.50,105.00,Top,180.0
R128,80.50,75.50,Top,180.0
R129,126.50,105.00,Top,180.0
R130,131.00,98.50,Top,180.0
R131,94.00,37.00,Top,0.0
R132,91.00,37.00,Top,180.0
R133,94.00,35.00,Top,180.0
R134,91.60,35.00,Top,90.0
R135,91.00,33.00,Top,0.0
R136,66.40,143.90,Top,0.0
R137,26.50,144.40,Top,270.0
R138,93.00,57.50,Top,90.0
R139,91.00,57.50,Top,90.0
R140,34.80,124.70,Top,90.0
R141,46.80,143.80,Top,90.0
R142,99.40,35.60,Top,270.0
R143,31.00,76.00,Top,180.0
R144,32.50,70.50,Top,180.0
R145,32.50,72.50,Top,180.0
R146,27.50,67.50,Top,180.0
R147,32.50,68.50,Top,0.0
R148,56.00,133.10,Top,0.0
R149,56.00,137.50,Top,0.0
R150,55.60,135.30,Top,90.0
R151,87.20,136.10,Top,0.0
R152,87.20,134.30,Top,0.0
R153,66.00,78.00,Top,270.0
R154,66.00,80.50,Top,90.0
R155,67.00,86.00,Top,270.0
R156,59.90,69.40,Top,90.0
R157,89.60,135.10,Top,270.0
R158, 9.80,18.00,Top,90.0
R159,21.70,12.40,Top,180.0
R160,66.40,31.40,Top,0.0
R161,26.50,31.90,Top,270.0
R162,34.80,12.20,Top,90.0
R163,80.40,143.70,Top,90.0
R164,46.80,31.30,Top,90.0
R165,56.00,20.60,Top,0.0
R166,56.00,25.00,Top,0.0
R167,55.60,22.80,Top,90.0
R168,87.20,23.60,Top,0.0
R169,87.20,21.80,Top,0.0
R170,89.60,22.60,Top,270.0
R171,80.40,31.20,Top,90.0
R173,56.90,69.40,Top,90.0
R174,53.90,69.40,Top,90.0
R175,62.90,69.40,Top,90.0
R176,56.00,85.00,Top,0.0
R177,43.00,78.50,Top,90.0
R178,57.00,91.00,Top,90.0
R179,167.98,67.12,Top,90.0
R180,183.58,80.50,Top,180.0
R181,183.58,82.12,Top,180.0
R182,180.42,80.26,Top,0.0
R183,180.58,66.36,Top,180.0
R184,165.38,82.14,Top,90.0
R185,57.00,94.00,Top,90.0
R187,90.00,109.50,Top,270.0
R188,92.00,109.50,Top,270.0
R189,89.00,118.50,Top,180.0
R190,92.00,118.50,Top,0.0
R191,89.00,120.50,Top,0.0
R192,91.40,120.50,Top,270.0
R193,92.00,122.50,Top,180.0
R194,90.00,98.00,Top,270.0
R195,92.00,98.00,Top,270.0
R196,83.60,119.90,Top,90.0
R197,31.00,93.00,Top,180.0
R198,32.50,87.50,Top,180.0
R199,32.50,89.50,Top,180.0
R200,27.50,84.50,Top,180.0
R201,32.50,85.50,Top,0.0
R213,155.54,150.14,Top,270.0
R214,155.54,119.66,Top,270.0
R215,155.54,134.90,Top,270.0
R216,154.47,29.74,Top,270.0
R217,217.19,66.69,Top,90.0
R218,155.54,143.72,Top,180.0
R219,155.54,109.50,Top,270.0
R220,154.54,44.57,Top,270.0
R221,196.30,150.70,Top,0.0
R222,196.30,148.70,Top,180.0
R223,196.30,135.70,Top,0.0
R224,196.30,133.70,Top,180.0
R225,196.30,120.70,Top,0.0
R226,196.30,118.70,Top,180.0
R227,195.30,45.20,Top,0.0
R228,195.30,43.20,Top,180.0
R229,195.30,30.70,Top,0.0
R230,195.30,28.70,Top,180.0
R231,195.30,16.70,Top,0.0
R232,195.30,14.70,Top,180.0
R233,196.20,105.20,Top,0.0
R234,196.20,103.20,Top,180.0
R235,161.40,96.30,Top,0.0
R236,198.20,103.20,Top,180.0
SW3,216.50,122.50,Top,270.0
SW4,215.50,89.50,Top,180.0
U2,58.00,79.00,Top,90.0
U6,132.00,142.50,Top,90.0
X1,215.33,77.57,Top,90.0
Y2,152.52,79.64,Top,180.0
Y3,180.50,72.00,Top,270.0
